Sector;Sector_agrupado;Industria;Empresa;Bolsa
Financiero;Financiero;Banca;GrupoAval;BVC NYSE
Energético;Energético;Petróleo;Ecopetrol;BVC NYSE TSX FWB
Financiero;Financiero;Banca;Bancolombia;BVC NYSE
Transporte;Otros Sectores;Transporte Aereo;Avianca;BVC NYSE
Conglomerado;Otros Sectores;Conglomerado;Sura;BVC
Financiero;Financiero;Servicios financieros;Corficolombiana;BVC
Materiales;Otros Sectores;Materiales de construcción;CementosArgos;BVC
Energético;Energético;Energía;ISA;BVC NYSE
Consumo Masivo;Otros Sectores;Industria alimenticia;GrupoNutresa;BVC
Financiero;Financiero;Banca;BancodeBogota;BVC
Energético;Energético;Petróleo;Canacol;BVC TSX
Energético;Energético;Energía;Celsia;BVC
Financiero;Financiero;Banca;Davivienda;BVC
Energético;Energético;Energía;GrupoEnergiaBogota;BVC
Conglomerado;Otros Sectores;Conglomerado;GrupoArgos;BVC
Financiero;Financiero;Bolsa;BVC;BVC
Telecomunicaciones;Otros Sectores;Telecomunicaciones;ETB;BVC
Financiero;Financiero;Conglomerado;GrupoBolivar;BVC
Materiales;Otros Sectores;Minería;Mineros;BVC
Energético;Energético;Combustibles;Terpel;BVC
Energético;Energético;Combustibles;Promigas;BVC
